scenario_set,case,seed,agent,completed,ever_exact,teh_at_5,teh_at_10,ended_correct,post_hit_retention_percent,first_regression_delay_rounds,regressions,evidence_status
single_cause,atomic_dropout,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,0,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_dropout,44,DeepSeek low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,56,DeepSeek low,True,True,False,False,True,,,,event_audit
single_cause,atomic_dropout,0,GLM low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,44,GLM low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,56,GLM low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,0,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,44,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,56,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_dropout,0,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_dropout,44,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_dropout,56,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_fault,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_fault,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_fault,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_fault,0,DeepSeek low,True,True,False,True,True,,,,event_audit
single_cause,atomic_fault,44,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_fault,56,DeepSeek low,True,True,False,False,False,,,,event_audit
single_cause,atomic_fault,0,GLM low,True,True,False,False,True,,,,event_audit
single_cause,atomic_fault,44,GLM low,True,True,False,True,True,,,,event_audit
single_cause,atomic_fault,56,GLM low,True,True,False,False,False,,,,event_audit
single_cause,atomic_fault,0,Qwen low,True,True,False,False,True,,,,event_audit
single_cause,atomic_fault,44,Qwen low,True,True,False,True,True,,,,event_audit
single_cause,atomic_fault,56,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,atomic_fault,0,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_fault,44,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_fault,56,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_hetero,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_hetero,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_hetero,0,DeepSeek low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,44,DeepSeek low,True,True,False,False,False,,,,event_audit
